"Hour","percentage","week_day"
0,0.0366092229858279,2
0,0.0366092229858279,3
0,0.0366092229858279,4
0,0.0366092229858279,5
0,0.0377397623620829,6
0,0.0397812340925425,7
0,0.0422147564894253,1
1,0.0344243526577476,2
1,0.0344243526577476,3
1,0.0344243526577476,4
1,0.0344243526577476,5
1,0.0353581250833116,6
1,0.0373819402067048,7
1,0.0395374560403602,1
2,0.0329840902783827,2
2,0.0329840902783827,3
2,0.0329840902783827,4
2,0.0329840902783827,5
2,0.0337934283689368,6
2,0.0356405387226709,7
2,0.0375590814066285,1
3,0.0322130400641462,2
3,0.0322130400641462,3
3,0.0322130400641462,4
3,0.0322130400641462,5
3,0.0329890714298167,6
3,0.0346290166610985,7
3,0.0363862706477542,1
4,0.0320104781600374,2
4,0.0320104781600374,3
4,0.0320104781600374,4
4,0.0320104781600374,5
4,0.0327536855616056,6
4,0.0342564757773769,7
4,0.0358740596494431,1
5,0.0323662156138555,2
5,0.0323662156138555,3
5,0.0323662156138555,4
5,0.0323662156138555,5
5,0.0330933521347064,6
5,0.0343533210220143,7
5,0.0357860762330765,1
6,0.0355846638563408,2
6,0.0355846638563408,3
6,0.0355846638563408,4
6,0.0355846638563408,5
6,0.0362830790884953,6
6,0.0368523325217302,7
6,0.0378817727522022,1
7,0.038383383242065,2
7,0.038383383242065,3
7,0.038383383242065,4
7,0.038383383242065,5
7,0.0388567034079283,6
7,0.0382549571283817,7
7,0.0378641670687963,1
8,0.0427337834132772,2
8,0.0427337834132772,3
8,0.0427337834132772,4
8,0.0427337834132772,5
8,0.0431361801344198,6
8,0.0411077655077637,7
8,0.0378081482173101,1
9,0.0461624515111684,2
9,0.0461624515111684,3
9,0.0461624515111684,4
9,0.0461624515111684,5
9,0.0463998367041182,6
9,0.0442065796131141,7
9,0.0396074214344185,1
10,0.0474169549357311,2
10,0.0474169549357311,3
10,0.0474169549357311,4
10,0.0474169549357311,5
10,0.0474416172884077,6
10,0.0459466417492982,7
10,0.0416081961035254,1
11,0.0481393981123168,2
11,0.0481393981123168,3
11,0.0481393981123168,4
11,0.0481393981123168,5
11,0.0481789481465867,6
11,0.0468758183308108,7
11,0.0428793283577669,1
12,0.0465212423818315,2
12,0.0465212423818315,3
12,0.0465212423818315,4
12,0.0465212423818315,5
12,0.0462893853367032,6
12,0.0457604222991395,7
12,0.0431306434526094,1
13,0.0468422899005526,2
13,0.0468422899005526,3
13,0.0468422899005526,4
13,0.0468422899005526,5
13,0.0447084905370289,6
13,0.0455614350916192,7
13,0.043492681486743,1
14,0.0470995491627902,2
14,0.0470995491627902,3
14,0.0470995491627902,4
14,0.0470995491627902,5
14,0.0460499344238612,6
14,0.0449798686391395,7
14,0.043164734067313,1
15,0.046550592902504,2
15,0.046550592902504,3
15,0.046550592902504,4
15,0.046550592902504,5
15,0.0458266419911006,6
15,0.0441223548873891,7
15,0.0429707997797941,1
16,0.0465034663583211,2
16,0.0465034663583211,3
16,0.0465034663583211,4
16,0.0465034663583211,5
16,0.0458278217968642,6
16,0.0438472745837601,7
16,0.0433545544196478,1
17,0.0467462272398113,2
17,0.0467462272398113,3
17,0.0467462272398113,4
17,0.0467462272398113,5
17,0.0462530796738514,6
17,0.0445202513069984,7
17,0.0446346670146341,1
18,0.046491644624033,2
18,0.046491644624033,3
18,0.046491644624033,4
18,0.046491644624033,5
18,0.0461797191791382,6
18,0.0461315584241809,7
18,0.0472591746921572,1
19,0.0452183179823197,2
19,0.0452183179823197,3
19,0.0452183179823197,4
19,0.0452183179823197,5
19,0.0448733051224784,6
19,0.0454436111463753,7
19,0.047252874031888,1
20,0.0439214048380774,2
20,0.0439214048380774,3
20,0.0439214048380774,4
20,0.0439214048380774,5
20,0.043514641052659,6
20,0.0441128220599968,7
20,0.0463528146286375,1
21,0.0427662946877913,2
21,0.0427662946877913,3
21,0.0427662946877913,4
21,0.0427662946877913,5
21,0.0423755378995024,6
21,0.0430520827622416,7
21,0.0453979892746535,1
22,0.0419470700035456,2
22,0.0419470700035456,3
22,0.0419470700035456,4
22,0.0419470700035456,5
22,0.0417059243097653,6
22,0.0422983132309194,7
22,0.0447460882150775,1
23,0.0403638650875257,2
23,0.0403638650875257,3
23,0.0403638650875257,4
23,0.0403638650875257,5
23,0.0403717289666311,6
23,0.0408833842347336,7
23,0.0432362445361378,1
